"STATION","NAME","DATE","CDSD","EMNT","EMXP","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"CS000081003","PUERTO LIMON, CS","1990-01","204.4","19.7","94.1","30.0","0.0","501.3","25.1","28.6","21.7"
"CS000081003","PUERTO LIMON, CS","1990-02","385.1","18.4","23.8","29.7","0.0","109.1","24.8","28.7","20.9"
"CS000081003","PUERTO LIMON, CS","1990-03","597.2","18.4","47.5","29.9","0.0","293.0","25.2","28.8","21.6"
"CS000081003","PUERTO LIMON, CS","1990-04","828.4","20.3","33.3","31.2","0.0","148.6","26.0","29.9","22.2"
"CS000081003","PUERTO LIMON, CS","1990-05","1076.4","21.2","150.2","31.4","0.0","749.6","26.3","29.3","23.3"
"CS000081003","PUERTO LIMON, CS","1990-06","1318.2","21.9","148.2","31.3","0.0","572.4","26.4","29.4","23.4"
"CS000081003","PUERTO LIMON, CS","1990-07","1558.4","21.4","54.6","31.0","0.0","279.5","26.1","29.1","23.0"
"CS000081003","PUERTO LIMON, CS","1990-08","1802.4","21.5","137.4","30.9","0.0","690.7","26.2","29.3","23.1"
"CS000081003","PUERTO LIMON, CS","1990-09","2052.5","21.5","29.8","31.8","0.0","181.1","26.7","30.3","23.0"
"CS000081003","PUERTO LIMON, CS","1990-10","2301.5","20.2","71.5","32.3","0.0","152.8","26.6","30.6","22.6"
"CS000081003","PUERTO LIMON, CS","1990-11","2539.5","21.0","53.6","30.8","0.0","253.7","26.3","29.7","22.8"
"CS000081003","PUERTO LIMON, CS","1990-12","2743.1","18.0","95.0","30.9","0.0","404.9","24.9","28.3","21.5"
"CS000081003","PUERTO LIMON, CS","1991-01","203.1","19.0","28.6","29.4","0.0","161.9","24.9","28.6","21.2"
"CS000081003","PUERTO LIMON, CS","1991-02","385.4","18.0","64.0","30.1","0.0","242.7","24.8","28.5","21.2"
"CS000081003","PUERTO LIMON, CS","1991-03","611.3","19.4","20.2","30.9","0.0","71.7","25.6","29.4","21.8"
"CS000081003","PUERTO LIMON, CS","1991-04","844.1","19.3","68.0","30.8","0.0","299.1","26.1","29.6","22.6"
"CS000081003","PUERTO LIMON, CS","1991-05","1098.2","22.2","112.9","31.5","0.0","581.5","26.5","29.5","23.6"
"CS000081003","PUERTO LIMON, CS","1991-06","1354.4","22.4","36.7","31.6","0.0","278.1","26.9","30.1","23.7"
"CS000081003","PUERTO LIMON, CS","1991-07","1597.8","22.2","135.1","31.4","0.0","866.4","26.2","29.1","23.3"
"CS000081003","PUERTO LIMON, CS","1991-08","1835.9","21.9","101.7","30.8","0.0","511.6","26.0","29.0","23.0"
"CS000081003","PUERTO LIMON, CS","1991-09","2078.0","22.0","83.3","30.9","0.0","344.9","26.4","29.5","23.3"
"CS000081003","PUERTO LIMON, CS","1991-10","2317.8","19.9","30.3","31.4","0.0","101.2","26.1","30.1","22.1"
"CS000081003","PUERTO LIMON, CS","1991-11","2510.8","20.0","120.6","30.8","0.0","628.2","24.8","28.2","21.3"
"CS000081003","PUERTO LIMON, CS","1991-12","2700.4","18.0","56.6","30.8","0.0","282.0","24.4","28.4","20.6"
"CS000081003","PUERTO LIMON, CS","1992-01","192.0","18.8",,"29.9","0.0",,"24.5","28.4","20.6"
"CS000081003","PUERTO LIMON, CS","1992-02","382.0","18.4",,"30.6","0.0",,"24.9","29.0","20.8"
"CS000081003","PUERTO LIMON, CS","1992-03","596.8","18.6",,"30.5","0.0",,"25.3","29.1","21.4"
"CS000081003","PUERTO LIMON, CS","1992-04","823.8","20.2",,"31.2","0.0",,"25.9","29.5","22.3"
"CS000081003","PUERTO LIMON, CS","1992-05","1060.0","19.4",,"31.9","0.0",,"25.9","29.8","22.1"
"CS000081003","PUERTO LIMON, CS","1992-06","1319.4","20.9",,"32.8","0.0",,"27.0","31.1","22.8"
"CS000081003","PUERTO LIMON, CS","1992-07","1544.8","20.3",,"31.6","0.0",,"25.6","29.4","21.8"
"CS000081003","PUERTO LIMON, CS","1992-08","1766.3","19.8",,"30.8","0.0",,"25.5","29.1","21.8"
"CS000081003","PUERTO LIMON, CS","1992-09","1994.9","20.3",,"31.9","0.0",,"25.9","30.2","21.7"
"CS000081003","PUERTO LIMON, CS","1992-10","2219.7","20.1",,"31.7","0.0",,"25.6","29.6","21.5"
"CS000081003","PUERTO LIMON, CS","1992-11","2441.6","19.8",,"31.6","0.0",,"25.7","30.1","21.4"
"CS000081003","PUERTO LIMON, CS","1992-12","2650.1","18.7",,"31.1","0.0",,"25.1","29.3","20.9"
"CS000081003","PUERTO LIMON, CS","1993-01","195.5","19.0",,"30.4","0.0",,"24.6","28.7","20.5"
"CS000081003","PUERTO LIMON, CS","1993-02","361.3","16.4",,"30.4","0.0",,"24.3","29.3","19.2"
"CS000081003","PUERTO LIMON, CS","1993-03","573.4","15.2",,"31.2","0.0",,"25.2","29.2","21.1"
"CS000081003","PUERTO LIMON, CS","1993-04","830.4","21.8",,"32.8","0.0",,"26.9","30.8","23.0"
"CS000081003","PUERTO LIMON, CS","1993-05","1110.9","22.4",,"32.5","0.0",,"27.4","31.3","23.4"
"CS000081003","PUERTO LIMON, CS","1993-06","1369.9","22.0",,"32.4","0.0",,"27.0","30.3","23.6"
"CS000081003","PUERTO LIMON, CS","1993-07","1612.3","21.6",,"31.1","0.0",,"26.1","29.2","23.1"
"CS000081003","PUERTO LIMON, CS","1993-08","1865.0","22.0",,"31.1","0.0",,"26.5","29.7","23.2"
"CS000081003","PUERTO LIMON, CS","1993-09","2103.9","20.7",,"31.2","0.0",,"26.3","29.8","22.8"
"CS000081003","PUERTO LIMON, CS","1993-10","2356.5","21.3",,"31.2","0.0",,"26.5","30.1","22.9"
"CS000081003","PUERTO LIMON, CS","1993-11","2586.5","21.0",,"31.0","0.0",,"26.0","29.6","22.4"
"CS000081003","PUERTO LIMON, CS","1993-12","2800.8","18.3",,"31.5","0.0",,"25.3","28.9","21.6"
"CS000081003","PUERTO LIMON, CS","1994-01","197.0","18.1",,"30.3","0.0",,"24.7","29.0","20.4"
"CS000081003","PUERTO LIMON, CS","1994-02","374.3","18.9",,"30.0","0.0",,"24.7","28.5","20.8"
"CS000081003","PUERTO LIMON, CS","1994-03","597.0","18.0",,"31.8","0.0",,"25.5","29.9","21.1"
"CS000081003","PUERTO LIMON, CS","1994-04","824.3","20.5",,"31.3","0.0",,"25.9","29.6","22.2"
"CS000081003","PUERTO LIMON, CS","1994-05","1085.5","22.0",,"31.7","0.0",,"26.8","30.3","23.3"
"CS000081003","PUERTO LIMON, CS","1994-06","1316.2","21.8",,"31.4","0.0",,"26.0","29.0","23.0"
"CS000081003","PUERTO LIMON, CS","1994-07","1541.2","21.8","115.3","30.7","0.0","789.8","25.6","28.2","23.0"
"CS000081003","PUERTO LIMON, CS","1994-08","1787.9","21.9",,"31.1","0.0",,"26.3","29.6","23.0"
"CS000081003","PUERTO LIMON, CS","1994-09","2029.1","21.6",,"31.3","0.0",,"26.4","29.5","23.2"
"CS000081003","PUERTO LIMON, CS","1994-10","2276.3","21.4",,"32.0","0.0",,"26.3","30.0","22.6"
"CS000081003","PUERTO LIMON, CS","1994-11","2507.8","21.0",,"31.1","0.0",,"26.1","29.4","22.7"
"CS000081003","PUERTO LIMON, CS","1994-12","2717.9","20.2",,"30.9","0.0",,"25.1","28.3","21.9"
"CS000081003","PUERTO LIMON, CS","1995-01","205.0","18.2",,"29.8","0.0",,"24.9","28.9","21.0"
"CS000081003","PUERTO LIMON, CS","1995-02","384.2","18.8",,"30.3","0.0",,"24.7","28.6","20.9"
"CS000081003","PUERTO LIMON, CS","1995-03","614.9","19.3",,"31.0","0.0",,"25.8","29.8","21.8"
"CS000081003","PUERTO LIMON, CS","1995-04","861.5","21.2",,"31.5","0.0",,"26.6","29.9","23.2"
